PROTEIN:16357	Homeobox Protein Hox-c12 (homeobox Protein Hox-3f)	Target
PROTEIN:2251	Aromatic-amino-acid Aminotransferase	Target
COMPOUND:17931	Clausine L	Compound
GENE:22427	Tripartite Motif Containing 63	Gene
GENE:14002	Olfactory Receptor Family 10 Subfamily J Member 1	Gene
PHENOTYPE:9353	Uncombable Hair	Phenotype
PROTEIN:16152	Ef-hand Calcium-binding Domain-containing Protein 3	Target
SIDE_EFFECT:2298	Thyrotoxicosis	Side Effect
PHENOTYPE:1832	Neuronal Loss In Central Nervous System	Phenotype
COMPOUND:32592	Ajgbuipzhmuzey-nqbhxwousa-n	Compound
GENE:8974	Immunoglobulin Lambda Variable 3-31 (pseudogene)	Gene
COMPOUND:251	Anagrelide	Compound
GENE:18039	Ribosomal Protein L7a Pseudogene 10	Gene
COMPOUND:35377	Feosjjvovozlpo-mifjxokwsa-n	Compound
COMPOUND:24939	Quercetin 3-o-alpha-l-(5''-o-galloyl)arabinofuranoside	Compound
GENE:1062	Rho Gtpase Activating Protein 5	Gene
DISEASE:4406	Rare Hyperlipidemia	Disease
PROTEIN:2745	Protein Tonb	Target
PROTEIN:21115	Interleukin-17b (il-17b)	Target
PATHWAY:1731	Glycogen Storage Disease Type Xv (gyg1)	Pathway
PROTEIN:21790	Transmembrane Protein 170b	Target
PROTEIN:12190	Olfactory Receptor 2a14 (ost182)	Target
PROTEIN:495	Creatine Kinase S-type, Mitochondrial	Target
SIDE_EFFECT:3810	Meningoencephalitis	Side Effect
PHENOTYPE:556	Agitation	Phenotype
GENE:16302	Protein Phosphatase 2, Catalytic Subunit, Beta Isozyme Pseudogene 1	Gene
PROTEIN:14546	Cilia- And Flagella-associated Protein 107	Target
PROTEIN:12207	Ocia Domain-containing Protein 1 (ovarian Cancer Immunoreactive Antigen Domain Containing 1)	Target
GENE:10657	Leucine Rich Repeat And Coiled-coil Centrosomal Protein 1	Gene
COMPOUND:1130	Cefprozil	Compound
ATC:L	Antineoplastic And Immunomodulating Agents	Atc
PROTEIN:12606	Syncoilin (syncoilin Intermediate Filament 1)	Target
PROTEIN:11829	Growth Factor Receptor-bound Protein 7 (b47)	Target
SIDE_EFFECT:232	Vision Blurred	Side Effect
GENE:13854	Ornithine Aminotransferase Pseudogene 1	Gene
PHENOTYPE:3150	Macrocephaly At Birth	Phenotype
ATC:M03AC	Other Quaternary Ammonium Compounds In Atc, Muscle Relaxants, Peripherally Acting	Atc
DISEASE:15891	Specific Language Impairment 5	Disease
PROTEIN:13807	Pou Domain, Class 4, Transcription Factor 2 (brain-specific Homeobox/pou Domain Protein 3b)	Target
PROTEIN:18383	Plakophilin-3	Target
COMPOUND:15040	Zrogccbnzbklel-xexnsljosa-n	Compound
GENE:6889	Galactose-3-o-sulfotransferase 1	Gene
PHENOTYPE:4651	Chronic Axonal Neuropathy	Phenotype
DISEASE:14999	Diarrhea 5, With Tufting Enteropathy, Congenital	Disease
PATHWAY:1572	Pre-notch Processing In The Endoplasmic Reticulum	Pathway
COMPOUND:1593	Propyl Acetate	Compound
DISEASE:4460	Ring Chromosome 10 Syndrome	Disease
GENE:8384	Hiv-1 Tat Specific Factor 1 Pseudogene 2	Gene
COMPOUND:31126	6,4'-dimethyl-naringenin	Compound
PATHWAY:1468	Sdk Interactions	Pathway
DISEASE:11041	Rare Genetic Choroidal Disorder	Disease
COMPOUND:24681	2-pentadecanone	Compound
PROTEIN:20205	Suppressor Apc Domain-containing Protein 1 (protein G7d)	Target
PROTEIN:19763	Mam Domain-containing Protein 2 (mam Domain-containing Proteoglycan)	Target
COMPOUND:4770	M0002	Compound
COMPOUND:34400	Udsfvoauhkgbek-cnqksjkfsa-n	Compound
COMPOUND:6980	2-({[3,5-difluoro-3'-(trifluoromethoxy)biphenyl-4-yl]amino}carbonyl)cyclopent-1-ene-1-carboxylic Acid	Compound
GENE:20422	Spla/ryanodine Receptor Domain And Socs Box Containing 3	Gene
DISEASE:13466	House Allergic Alveolitis	Disease
PROTEIN:2296	Transcriptional Regulator, Gntr Family	Target
COMPOUND:20876	Gupyzkqzopxfil-aqslvyabsa-n	Compound
DISEASE:12241	Fgfr3-related Chondrodysplasia	Disease
COMPOUND:17604	Rrvifatwsidvic-bweyftmrsa-n	Compound
SIDE_EFFECT:895	Muscle Tightness	Side Effect
PROTEIN:18988	Centromere/kinetochore Protein Zw10 Homolog	Target
ATC:B01AX	Other Antithrombotic Agents In Atc	Atc
GENE:5304	Ef-hand Calcium Binding Domain 11	Gene
PROTEIN:19814	Myopalladin (145 Kda Sarcomeric Protein)	Target
COMPOUND:30830	Jfajuiznhkhdgq-nbcfguobsa-n	Compound
PROTEIN:735	Canalicular Multispecific Organic Anion Transporter 1	Target
COMPOUND:1200	Rifaximin	Compound
GENE:24940	Linc02210-crhr1 Readthrough	Gene
COMPOUND:37109	Cbtlxsbfaweyrw-ywgiofsdsa-n	Compound
PATHWAY:1079	Terminal Pathway Of Complement	Pathway
COMPOUND:11647	Calcium Levulinate	Compound
PHENOTYPE:3213	Cervical Segmentation Defect	Phenotype
GENE:5367	Eukaryotic Translation Initiation Factor 1a Domain Containing	Gene
COMPOUND:20964	Uqcffwbhehcuqf-uhfffaoysa-n	Compound
DISEASE:14419	Cerebrooculofacioskeletal Syndrome 3	Disease
GENE:6565	Fad Dependent Oxidoreductase Domain Containing 1	Gene
ATC:R06AC05	Methapyrilene	Atc
GENE:21710	Transmembrane Protein 253	Gene
PHENOTYPE:668	Insulin Resistance	Phenotype
COMPOUND:9597	Treosulfan	Compound
PHENOTYPE:4633	Macrogyria	Phenotype
PHENOTYPE:1065	X-linked Recessive Inheritance	Phenotype
GENE:9123	Interleukin 9 Receptor	Gene
INDICATION:2424	Torsades De Pointes	Indication
SIDE_EFFECT:4998	Dentofacial Anomaly	Side Effect
PROTEIN:6356	Sumo-activating Enzyme	Target
PROTEIN:3995	Serine/threonine-protein Kinase Pkng	Target
DISEASE:7427	 Familial Flecked Retinopathy	Disease
PROTEIN:12880	Apical Junction Component 1 Homolog	Target
ATC:G01AE01	Sulfatolamide	Atc
COMPOUND:15056	Lophocladine B	Compound
COMPOUND:38120	Dqixenscqixiks-zkchjgmbsa-n	Compound
COMPOUND:30385	Jlidbldqvayhne-uhfffaoysa-n	Compound
DISEASE:15959	Spastic Paraplegia 72, Autosomal Recessive	Disease
GENE:20488	Srp Receptor Subunit Alpha	Gene
PROTEIN:466	Microsomal Glutathione S-transferase 2	Target
PROTEIN:16307	Probable G-protein Coupled Receptor 45 (psp24-1)	Target
INDICATION:2015	Delayed Gastric Emptying	Indication
GENE:21603	Transmembrane Protein 14b	Gene
PROTEIN:13654	Olfactory Receptor 10z1 (olfactory Receptor Or1-15)	Target
INDICATION:879	Sepsis Neonatal	Indication
COMPOUND:30041	Eremanthin	Compound
PROTEIN:962	Voltage-dependent L-type Calcium Channel Subunit Alpha-1d	Target
COMPOUND:38421	Xignwylnwurwhk-gpevjipjsa-n	Compound
GENE:6527	Forkhead Box D4 Like 4	Gene
PROTEIN:9014	Protein Kintoun (dynein Assembly Factor 2, Axonemal)	Target
COMPOUND:7854	Raxibacumab	Compound
PROTEIN:12862	Atp Synthase Subunit C Lysine N-methyltransferase (ec 2.1.1.-)	Target
COMPOUND:44064	4-[(3r,5s)-3,5-dihydroxy-7-(4-hydroxyphenyl)heptyl]benzene-1,2-diol	Compound
COMPOUND:42606	Qxbaizzdgiokav-srevyhepsa-n	Compound
GENE:4454	D-box Binding Par Bzip Transcription Factor	Gene
GENE:14153	Olfactory Receptor, Family 2, Subfamily Ao, Member 1 Pseudogene	Gene
GENE:3316	Charged Multivesicular Body Protein 2b	Gene
SIDE_EFFECT:3297	Urine Phosphorus Increased	Side Effect
ATC:G03AC04	Quingestanol	Atc
COMPOUND:27309	Myqcqywrqblotc-wubgxzndsa-n	Compound
DISEASE:16440	Intellectual Developmental Disorder, Autosomal Dominant 33	Disease
PROTEIN:21857	Tigger Transposable Element-derived Protein 5	Target
GENE:16356	Prame Family Member 14	Gene
COMPOUND:36839	Fierimlaojmxik-uhfffaoysa-n	Compound
PROTEIN:13984	Thioredoxin Reductase-like Selenoprotein T (selt)	Target
COMPOUND:40843	Tvngrdsdhvarnr-syqakrscsa-n	Compound
ATC:A10BB09	Gliclazide	Atc
PROTEIN:12809	Zinc Finger Protein 263 (zinc Finger Protein Fpm315)	Target
COMPOUND:6890	4-{4-[2-(1a,7a-dimethyl-4-oxy-octahydro-1-oxa-4-aza-cyclopropa[a]naphthalen-4-yl) -acetylamino]-phenylcarbamoyl}-butyric Acid	Compound
GENE:20986	Taste Receptor, Type 2, Member 12 Pseudogene	Gene
COMPOUND:44210	Ovmsocfbdvblfw-jmiyrakgsa-n	Compound
COMPOUND:32221	Wczpxjjnpsyriv-jskylqrqsa-n	Compound
COMPOUND:17291	Juyhdxtvlyggtj-brernlbnsa-n	Compound
PATHWAY:343	Transcriptional Regulation Of Granulopoiesis	Pathway
COMPOUND:8306	Iodohippurate Sodium I-131	Compound
INDICATION:212	Feeling Suicidal (finding)	Indication
COMPOUND:35825	Solavetivone	Compound
COMPOUND:805	Disulfiram	Compound
DISEASE:8548	Fetal Lung Interstitial Tumor	Disease
PROTEIN:18820	Tax1-binding Protein 3 (glutaminase-interacting Protein 3)	Target
PROTEIN:18566	Splicing Factor 3b Subunit 5 (sf3b5)	Target
COMPOUND:21352	Chloramultilide D	Compound
COMPOUND:26067	Ygvhosgnoykrih-zygxxajqsa-n	Compound
GENE:26682	Decapping Mrna 1b	Gene
COMPOUND:30722	Anigorufone	Compound
PROTEIN:20798	Contactin-2 (axonal Glycoprotein Tag-1)	Target
PROTEIN:13692	Olfactory Receptor 4c13 (olfactory Receptor Or11-260)	Target
PROTEIN:5328	Efm-19	Target
GENE:8404	5-hydroxytryptamine Receptor 5a	Gene
SIDE_EFFECT:3574	Muscle Haemorrhage	Side Effect
PHENOTYPE:9351	Perifollicular Fibrosis	Phenotype
COMPOUND:7082	Latrunculin B	Compound
COMPOUND:27337	Nysqqjijjjawce-uqsuzelcsa-n	Compound
SIDE_EFFECT:3269	Stinging Skin	Side Effect
GENE:24862	Tubulin Beta 4a Class Iva	Gene
GENE:23523	Wap Four-disulfide Core Domain 2	Gene
COMPOUND:34627	(2z,8e,10e)-pentadecatriene-4,6-diyn-1-ol	Compound
COMPOUND:31652	Mmextndbwoemtb-zgmmzyflsa-n	Compound
GENE:2141	Chromosome 3 Open Reading Frame 14	Gene
DISEASE:4182	Congenital Respiratory-biliary Fistula	Disease
PHENOTYPE:11272	Triceps Hypoplasia	Phenotype
PHENOTYPE:8419	Hypergalactosemia	Phenotype
GENE:26457	Dead/h-box Helicase 11	Gene
PROTEIN:1076	Pepsin A-5	Target
PATHWAY:229	Defective B3gat3 Causes Jdssdhd	Pathway
GENE:9069	Interleukin 1 Beta	Gene
PROTEIN:2356	Glycylpeptide N-tetradecanoyltransferase	Target
PROTEIN:18611	Swi/snf Complex Subunit Smarcc2 (brg1-associated Factor 170)	Target
PHENOTYPE:2034	Abnormality Of The Knee	Phenotype
COMPOUND:5802	Chymopapain	Compound
ATC:N06AF05	Iproniazide	Atc
ATC:L01AD05	Fotemustine	Atc
PHENOTYPE:8517	Anterior Uveitis	Phenotype
PROTEIN:9844	Wd Repeat And Socs Box-containing Protein 2 (wsb-2)	Target
DISEASE:11906	Robinow Syndrome	Disease
GENE:5313	Ef-hand Calcium Binding Domain 8	Gene
ATC:J01DC06	Cefonicid	Atc
GENE:10228	Left-right Determination Factor 2	Gene
COMPOUND:24403	Odyjjnfwfyuxss-soznhuoksa-n	Compound
INDICATION:2313	Soft Tissue Disorder	Indication
GENE:18544	Secretoglobin Family 3a Member 1	Gene
DISEASE:4593	Acromicric Dysplasia	Disease
COMPOUND:39434	Coreajaponins B	Compound
COMPOUND:2182	Phosphatidylcholine	Compound
DISEASE:7338	Saccharopinuria	Disease
COMPOUND:6064	D-phenylalanyl-n-(3-fluorobenzyl)-l-prolinamide	Compound
DISEASE:10481	Localized Lipodystrophy	Disease
EFFECT:137	 Gastrointestinal Bleeding And Thrombocytopenia	Effect
PROTEIN:21017	Ferm Domain-containing Protein 5	Target
COMPOUND:10095	Etrolizumab	Compound
GENE:6199	F-box And Leucine Rich Repeat Protein 12	Gene
PROTEIN:18446	Ras-associating And Dilute Domain-containing Protein	Target
COMPOUND:319	Ethambutol	Compound
SIDE_EFFECT:5271	Schizoaffective Disorder	Side Effect
PROTEIN:21982	Uroplakin-2 (up2)	Target
SIDE_EFFECT:3059	Generalised Spasm	Side Effect
PHENOTYPE:7820	Long Umbilical Cord	Phenotype
SIDE_EFFECT:5589	Panniculitis	Side Effect
COMPOUND:20462	Gramideoxybenzoin D	Compound
GENE:14608	Olfactory Receptor, Family 6, Subfamily E, Member 1 Pseudogene	Gene
INDICATION:2290	Gastrointestinal Stromal Tumors	Indication
PROTEIN:11116	Suz Rna-binding Domain-containing (suz Domain-containing Protein 1)	Target
INDICATION:264	Postmenopausal Syndrome	Indication
PHENOTYPE:1321	Broad Nail	Phenotype
GENE:12334	Myeloid Cell Nuclear Differentiation Antigen	Gene
COMPOUND:32280	Ptjszwuojvhumy-uhfffaoysa-n	Compound
SIDE_EFFECT:5519	Knee Sprain	Side Effect
GENE:12112	Microrna 614	Gene
COMPOUND:18043	Arjunglucoside I	Compound
ATC:A07EA03	Prednisone	Atc
GENE:11585	Microrna 211	Gene
PROTEIN:13798	1-phosphatidylinositol 4,5-bisphosphate Phosphodiesterase Beta-1 (ec 3.1.4.11)	Target
PROTEIN:3851	Far Upstream Element-binding Protein 1	Target
GENE:6398	Formin Homology 2 Domain Containing 3	Gene
PROTEIN:9673	T-box Transcription Factor Tbx1 (t-box Protein 1)	Target
DISEASE:13493	 Ehlers-danlos Syndrome Type 7a	Disease
GENE:3311	Chm Rab Escort Protein	Gene
PROTEIN:16231	Fibronectin Type Iii Domain-containing Protein 9	Target
GENE:20028	Small Nucleolar Rna, C/d Box 51	Gene
PROTEIN:15801	7-methylguanosine Phosphate-specific 5'-nucleotidase (7-methylguanosine Nucleotidase)	Target
PROTEIN:331	Lysozyme C	Target
GENE:7822	Host Cell Factor C2	Gene
PROTEIN:2592	60s Ribosomal Protein L3	Target
GENE:16528	Phosphoribosyl Pyrophosphate Synthetase Associated Protein 1	Gene
PROTEIN:14474	C3a Anaphylatoxin Chemotactic Receptor (c3ar)	Target
DISEASE:16764	Neurodegeneration With Brain Iron Accumulation 6	Disease
GENE:17963	Ribosomal Protein L31	Gene
COMPOUND:6381	4-(2-aminoethyl)benzenesulfonyl Fluoride	Compound
SIDE_EFFECT:4681	Rectal Cancer	Side Effect
PHENOTYPE:8389	Abnormal Atrial Septum Morphology	Phenotype
PROTEIN:19723	Lens Fiber Membrane Intrinsic Protein (mp18)	Target
COMPOUND:27133	5-n-tricosylresorcinol	Compound
COMPOUND:359	Mirtazapine	Compound
COMPOUND:30445	Fgwjrzqnnzvchr-ferzijsqsa-n	Compound
COMPOUND:26558	Muzanzagenin	Compound
GENE:26840	Envoplakin	Gene
COMPOUND:20186	Chaetocin	Compound
ATC:M01AB17	Bufexamac	Atc
PROTEIN:5749	Sh-sy5y	Target
INDICATION:2259	Motor Neuron Disease	Indication
PROTEIN:20455	Ubiquitin-conjugating Enzyme E2 Q1 (ec 2.3.2.23)	Target
PROTEIN:8742	Protein Fam117a (c/ebp-induced Protein)	Target
PHENOTYPE:5707	Stippling Of The Epiphysis Of The Distal Phalanx Of The 5th Finger	Phenotype
COMPOUND:43845	Xqxanaybqdkobu-qstlkdojsa-n	Compound
GENE:18177	Ribosomal Protein S3a Pseudogene 2	Gene
PROTEIN:3056	Cytochrome C-553	Target
GENE:21921	Tenascin R	Gene
